Stopword;Language;English translation;Source
tinhas;PORTUGUESE;;stopwords-new-PT-20110831.csv
joita;FINNISH;(pl);stopwords-original.csv
damit;GERMAN;with it;stopwords-original.csv
tätä;FINNISH;this;stopwords-original.csv
contudo;PORTUGUESE;however;stopwords-new-PT-20110831.csv
fûtes;FRENCH;;stopwords-original.csv
miltä;FINNISH;which what;stopwords-original.csv
vuestra;SPANISH;;stopwords-original.csv
estaríamos;SPANISH;;stopwords-original.csv
niitä;FINNISH;they;stopwords-original.csv
när;SWEDISH;when;stopwords-original.csv
noin;FINNISH;about;stopwords-original.csv
joka;FINNISH;who which;stopwords-original.csv
nuestros;SPANISH;;stopwords-original.csv
τῶν;GREEK;;stopwords-original.csv
annat;SWEDISH;;stopwords-new-SW-20111107.csv
vuestro;SPANISH;yours;stopwords-original.csv
tuvierais;SPANISH;;stopwords-original.csv
keine;GERMAN;;stopwords-original.csv
estuvieran;SPANISH;;stopwords-original.csv
theirs;ENGLISH;possessive pronoun;stopwords-original.csv
meer;DUTCH;(1) more, (2) lake;stopwords-original.csv
τοῦ;GREEK;;stopwords-original.csv
few;ENGLISH;;stopwords-original.csv
andere;DUTCH|GERMAN;other|;stopwords-original.csv
anderm;GERMAN;;stopwords-original.csv
tinham;PORTUGUESE;;stopwords-original.csv
haveremos;PORTUGUESE;;stopwords-new-PT-20110831.csv
häntä;FINNISH;he she;stopwords-original.csv
andern;GERMAN;;stopwords-original.csv
häri;SWEDISH;;stopwords-new-SW-20111107.csv
não;PORTUGUESE;not, no;stopwords-original.csv
niets;DUTCH;nothing;stopwords-original.csv
annan;SWEDISH;;stopwords-new-SW-20111107.csv
anderr;GERMAN;;stopwords-original.csv
habría;SPANISH;;stopwords-original.csv
porém;PORTUGUESE;;stopwords-new-PT-20110831.csv
meiltä;FINNISH;we;stopwords-original.csv
nem;PORTUGUESE;nor;stopwords-original.csv
esto;SPANISH;this;stopwords-original.csv
estuvieras;SPANISH;;stopwords-original.csv
olisi;FINNISH;;stopwords-original.csv
aqueles;PORTUGUESE;those;stopwords-original.csv
hubierais;SPANISH;;stopwords-original.csv
d;FRENCH;d';stopwords-original.csv
e;PORTUGUESE|SPANISH;and|and (variant of y);stopwords-original.csv
olisimme;FINNISH;;stopwords-original.csv
hubieran;SPANISH;;stopwords-original.csv
c;FRENCH;c';stopwords-original.csv
οὖν;GREEK;;stopwords-original.csv
a;ENGLISH|PORTUGUESE|SPANISH;|the, to, at, her|to;stopwords-original.csv
n;FRENCH;n';stopwords-original.csv
o;PORTUGUESE|SPANISH;the, him|or;stopwords-original.csv
suyas;SPANISH;;stopwords-original.csv
l;FRENCH;l';stopwords-original.csv
m;FRENCH;m';stopwords-original.csv
j;FRENCH;j';stopwords-original.csv
dessas;PORTUGUESE;de + essas;stopwords-new-PT-20110831.csv
i;ENGLISH|SWEDISH;subject, always in upper case of course|in, at;stopwords-original.csv
nichts;GERMAN;nothing;stopwords-original.csv
τούσ;GREEK;;stopwords-original.csv
u;DUTCH;you;stopwords-original.csv
t;FRENCH;t';stopwords-original.csv
zelf;DUTCH;self;stopwords-original.csv
s;FRENCH;s';stopwords-original.csv
hubieras;SPANISH;;stopwords-original.csv
ἀλλά;GREEK;;stopwords-original.csv
having;ENGLISH;-ing form;stopwords-original.csv
τοιοῦτοσ;GREEK;;stopwords-original.csv
y;FRENCH|SPANISH;there|and;stopwords-original.csv
nestas;PORTUGUESE;em + estas;stopwords-new-PT-20110831.csv
here's;ENGLISH;;stopwords-original.csv
esta;PORTUGUESE|SPANISH;this|this;stopwords-original.csv
vossas;PORTUGUESE;your, yours;stopwords-new-PT-20110831.csv
teillä;FINNISH;you;stopwords-original.csv
étés;FRENCH;;stopwords-original.csv
celà ;FRENCH;that;stopwords-original.csv
estiverdes;PORTUGUESE;;stopwords-new-PT-20110831.csv
sollte;GERMAN;should;stopwords-original.csv
essa;PORTUGUESE;that;stopwords-original.csv
jag;SWEDISH;I;stopwords-original.csv
estais;PORTUGUESE;;stopwords-new-PT-20110831.csv
vaan;FINNISH;but;stopwords-original.csv
keinä;FINNISH;(pl);stopwords-original.csv
fussent;FRENCH;;stopwords-original.csv
tuona;FINNISH;that;stopwords-original.csv
sinulle;FINNISH;you;stopwords-original.csv
fuéramos;SPANISH;;stopwords-original.csv
teitä;FINNISH;you;stopwords-original.csv
tänä;FINNISH;this;stopwords-original.csv
through;ENGLISH;;stopwords-original.csv
sinulla;FINNISH;you;stopwords-original.csv
estuvisteis;SPANISH;;stopwords-original.csv
någon;SWEDISH;some etc;stopwords-original.csv
före;SWEDISH;;stopwords-new-SW-20111107.csv
mais;FRENCH|PORTUGUESE;but|more;stopwords-original.csv
tämä;FINNISH;this;stopwords-original.csv
μή;GREEK;;stopwords-original.csv
à;FRENCH|PORTUGUESE;to, at|a + a;stopwords-original.csv
jona;FINNISH;who which;stopwords-original.csv
cada;PORTUGUESE;each;stopwords-new-PT-20110831.csv
which;ENGLISH;;stopwords-original.csv
tenéis;SPANISH;;stopwords-original.csv
dina;SWEDISH;thy;stopwords-original.csv
nas;PORTUGUESE;em + as;stopwords-original.csv
något;SWEDISH;some etc;stopwords-original.csv
tuviese;SPANISH;;stopwords-original.csv
ó;IRISH;from;stopwords-new-IE-20110906.csv
esos;SPANISH;those;stopwords-original.csv
keitä;FINNISH;(pl);stopwords-original.csv
estaríais;SPANISH;;stopwords-original.csv
tenho;PORTUGUESE;;stopwords-original.csv
millä;FINNISH;which what;stopwords-original.csv
haverá;PORTUGUESE;;stopwords-new-PT-20110831.csv
omfattar;SWEDISH;;stopwords-new-SW-20111107.csv
niistä;FINNISH;they;stopwords-original.csv
hasta;SPANISH;until;stopwords-original.csv
tengo;SPANISH;;stopwords-original.csv
toch;DUTCH;yet, still;stopwords-original.csv
einiger;GERMAN;;stopwords-original.csv
einigem;GERMAN;;stopwords-original.csv
estaré;SPANISH;;stopwords-original.csv
några;SWEDISH;some etc;stopwords-original.csv
kenet;FINNISH;who;stopwords-original.csv
tenha;PORTUGUESE;;stopwords-original.csv
estará;SPANISH;;stopwords-original.csv
