Stopword;Language;English translation
acerca;PORTUGUESE;about
agora;PORTUGUESE;now
ainda;PORTUGUESE;still, yet
alguém;PORTUGUESE;someone
algum;PORTUGUESE;some
alguma;PORTUGUESE;some
algumas;PORTUGUESE;some
alguns;PORTUGUESE;some
ali;PORTUGUESE;there
após;PORTUGUESE;after
aqui;PORTUGUESE;here
atrás;PORTUGUESE;behind
através;PORTUGUESE;through
cada;PORTUGUESE;each
comigo;PORTUGUESE;with me
connosco;PORTUGUESE;with us
consigo;PORTUGUESE;with you
contigo;PORTUGUESE;with you
contudo;PORTUGUESE;however
convosco;PORTUGUESE;with you
daquele;PORTUGUESE;de + aquele
daqueles;PORTUGUESE;de + aqueles
debaixo;PORTUGUESE;under
dessas;PORTUGUESE;de + essas
desse;PORTUGUESE;de + esse
desses;PORTUGUESE;de + esses
desta;PORTUGUESE;de + esta
destas;PORTUGUESE;de + estas
deste;PORTUGUESE;de + este
destes;PORTUGUESE;de + estes
disso;PORTUGUESE;de + isso
disto;PORTUGUESE;de + isto
enquanto;PORTUGUESE;while
então;PORTUGUESE;then, so
mesma;PORTUGUESE;same
mesmas;PORTUGUESE;same
mesmos;PORTUGUESE;same
mim;PORTUGUESE;me
muita;PORTUGUESE;much
muitas;PORTUGUESE;many
muitos;PORTUGUESE;many
nenhum;PORTUGUESE;any
nessa;PORTUGUESE;em + essa
nessas;PORTUGUESE;em + essas
nesses;PORTUGUESE;em + esses
nesse;PORTUGUESE;em + esse
nesta;PORTUGUESE;em + esta
nestas;PORTUGUESE;em + estas
ninguém;PORTUGUESE;no one
nunca;PORTUGUESE;never
onde;PORTUGUESE;where
outra;PORTUGUESE;other
outras;PORTUGUESE;others
outro;PORTUGUESE;other
outros;PORTUGUESE;others
perante;PORTUGUESE;
pois;PORTUGUESE;because
porém;PORTUGUESE;
pouca;PORTUGUESE;few
poucas;PORTUGUESE;few
pouco;PORTUGUESE;few
poucos;PORTUGUESE;few
quaisquer;PORTUGUESE;any
qualquer;PORTUGUESE;any
quanto;PORTUGUESE;how much, as
quantos;PORTUGUESE;how many
quê;PORTUGUESE;"what
"
sob;PORTUGUESE;under
se;PORTUGUESE;if
tal;PORTUGUESE;such
talvez;PORTUGUESE;perhaps
toda;PORTUGUESE;all
todas;PORTUGUESE;all
todavia;PORTUGUESE;
trás;PORTUGUESE;back
tudo;PORTUGUESE;all
vosso;PORTUGUESE;your, yours
vossa;PORTUGUESE;your, yours
vossos;PORTUGUESE;your, yours
vossas;PORTUGUESE;your, yours
estás;PORTUGUESE;
estais;PORTUGUESE;
estiveste;PORTUGUESE;
estivestes;PORTUGUESE;
estavas;PORTUGUESE;
estáveis;PORTUGUESE;
estiveras;PORTUGUESE;
estivéreis;PORTUGUESE;
estiveram;PORTUGUESE;
estejas;PORTUGUESE;
estejais;PORTUGUESE;
estivesses;PORTUGUESE;
estivésseis;PORTUGUESE;
estiveres;PORTUGUESE;
estiverdes;PORTUGUESE;
hás;PORTUGUESE;
haveis;PORTUGUESE;
houveste;PORTUGUESE;
houvestes;PORTUGUESE;
houveras;PORTUGUESE;
houvéreis;PORTUGUESE;
houveram;PORTUGUESE;
hajas;PORTUGUESE;
hajais;PORTUGUESE;
houvesses;PORTUGUESE;
houvésseis;PORTUGUESE;
houveres;PORTUGUESE;
houverdes;PORTUGUESE;
haverei;PORTUGUESE;
haverás;PORTUGUESE;
haverá;PORTUGUESE;
haveremos;PORTUGUESE;
havereis;PORTUGUESE;
haverão;PORTUGUESE;
haveria;PORTUGUESE;
haverias;PORTUGUESE;
haveríamos;PORTUGUESE;
haveríeis;PORTUGUESE;
haveriam;PORTUGUESE;
és;PORTUGUESE;
sois;PORTUGUESE;
eras;PORTUGUESE;
éreis;PORTUGUESE;
foste;PORTUGUESE;
fostes;PORTUGUESE;
foras;PORTUGUESE;
fôreis;PORTUGUESE;
sejas;PORTUGUESE;
sejais;PORTUGUESE;
fosses;PORTUGUESE;
fôsseis;PORTUGUESE;
fores;PORTUGUESE;
fordes;PORTUGUESE;
serás;PORTUGUESE;
sereis;PORTUGUESE;
serias;PORTUGUESE;
seríeis;PORTUGUESE;
tens;PORTUGUESE;
tendes;PORTUGUESE;
têm;PORTUGUESE;
tinhas;PORTUGUESE;
tinheis;PORTUGUESE;
tiveste;PORTUGUESE;
tivestes;PORTUGUESE;
tiveras;PORTUGUESE;
tivéreis;PORTUGUESE;
tiveram;PORTUGUESE;
tenhas;PORTUGUESE;
tenhais;PORTUGUESE;
tivesses;PORTUGUESE;
tivésseis;PORTUGUESE;
tiveres;PORTUGUESE;
tiverdes;PORTUGUESE;
terás;PORTUGUESE;
tereis;PORTUGUESE;
terias;PORTUGUESE;
teríeis;PORTUGUESE;
